id ,kode,nama,kategori,link_kategori,jenis,stock,harga_beli,suplier,tanggal_masuk,tanggal_update,created_at,updated_at,d_ss,L,Z,SS,d_rop,ROP,AU,stock_max,jumlah_harus_beli,status_material
45,CBS-SC-55,Carbon Steel S55C,Carbon Steel,CBS,JIS,3,150000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,32,29,
46,CBS-SC-58,Carbon Steel S58C,Carbon Steel,CBS,JIS,13,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,35,22,
47,CBS-SC-35,Carbon Steel S35C,Carbon Steel,CBS,JIS,41,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,34,0,
48,CBS-SC-21,Carbon Steel S21C,Carbon Steel,CBS,JIS,22,300000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,37,15,
49,CBS-SC-35,Carbon Steel S35C,Carbon Steel,CBS,JIS,8,150000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,40,32,
50,CBS-SC-78,Carbon Steel S78C,Carbon Steel,CBS,JIS,9,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,41,32,
51,CBS-SC-44,Carbon Steel S44C,Carbon Steel,CBS,JIS,27,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,32,5,
52,CBS-AIS-1015,Carbon Steel AISI1015,Carbon Steel,CBS,AISI,34,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,42,8,
53,CBS-AIS-1017,Carbon Steel AISI1017,Carbon Steel,CBS,AISI,39,300000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,35,0,
54,CBS-AIS-1020,Carbon Steel AISI1020,Carbon Steel,CBS,AISI,8,150000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,8,2,31,23,
55,CBS-AIS-1023,Carbon Steel AISI1023,Carbon Steel,CBS,AISI,14,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,8,1,29,15,
56,CBS-AIS-1025,Carbon Steel AISI1025,Carbon Steel,CBS,AISI,31,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,41,10,
57,CBS-AIS-1029,Carbon Steel AISI1029,Carbon Steel,CBS,AISI,4,300000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,34,30,
58,CBS-AIS-1030,Carbon Steel AISI1030,Carbon Steel,CBS,AISI,2,150000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,34,32,
59,CBS-AIS-1038,Carbon Steel AISI1038,Carbon Steel,CBS,AISI,37,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,38,1,
60,CBS-AIS-1040,Carbon Steel AISI1040,Carbon Steel,CBS,AISI,3,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,35,32,
61,CBS-AIS-1043,Carbon Steel AISI1043,Carbon Steel,CBS,AISI,27,300000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,40,13,
62,CBS-AIS-1045,Carbon Steel AISI1045,Carbon Steel,CBS,AISI,8,150000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,8,1,30,22,
63,CBS-AIS-1049,Carbon Steel AISI1049,Carbon Steel,CBS,AISI,30,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,39,9,
64,CBS-AIS-1053,Carbon Steel AISI1053,Carbon Steel,CBS,AISI,16,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,35,19,
65,CBS-AIS-1055,Carbon Steel AISI1055,Carbon Steel,CBS,AISI,6,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,40,34,
66,CBS-AIS-1059,Carbon Steel AISI1059,Carbon Steel,CBS,AISI,11,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,38,27,
67,CBS-AIS-1035,Carbon Steel AISI1035,Carbon Steel,CBS,AISI,15,300000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,39,24,
68,CBS-AIS-1010,Carbon Steel AISI1010,Carbon Steel,CBS,AISI,24,150000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,31,7,
69,CBS-AIS-1012,Carbon Steel AISI1012,Carbon Steel,CBS,AISI,38,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,35,0,
