id ,kode,nama,kategori,link_kategori,jenis,stock,harga_beli,suplier,tanggal_masuk,created_at,updated_at,d_ss,L,Z,SS,d_rop,ROP,AU
145,SS-S31-803,Stainless Steel S31803,Stainless Steel,SS,AISI,40,,Rakan Pratama Mandiri,,12/25/2022 1:38,12/25/2022 1:38,,3,,0.6,,7,2
146,SS-S31-260,Stainless Steel S31260,Stainless Steel,SS,AISI,26,,Rakan Pratama Mandiri,,12/26/2022 1:38,12/26/2022 1:38,,3,,0.5,,6,2
147,SS-AIS-405,Stainless Steel AISI405,Stainless Steel,SS,AISI,24,,Inti Sarana Kreasi,,12/27/2022 1:38,12/27/2022 1:38,,3,,0.6,,6,2
148,SS-AIS-429,Stainless Steel AISI429,Stainless Steel,SS,AISI,52,,Inti Sarana Kreasi,,12/28/2022 1:38,12/28/2022 1:38,,3,,0.5,,6,2
149,SS-AIS-430,Stainless Steel AISI430,Stainless Steel,SS,AISI,72,,Inti Sarana Kreasi,,12/29/2022 1:38,12/29/2022 1:38,,3,,0.5,,5,2
150,SS-AIS-430F,Stainless Steel AISI430F,Stainless Steel,SS,AISI,38,,Inti Sarana Kreasi,,12/30/2022 1:38,12/30/2022 1:38,,3,,0.6,,6,2
151,SS-AIS-434,Stainless Steel AISI434,Stainless Steel,SS,AISI,38,,Inti Sarana Kreasi,,12/31/2022 1:38,12/31/2022 1:38,,3,,0.5,,5,2
152,SS-AIS-436,Stainless Steel AISI436,Stainless Steel,SS,AISI,8,,Inti Sarana Kreasi,,1/1/2023 1:38,1/1/2023 1:38,,3,,0.5,,6,2
153,SS-AIS-444,Stainless Steel AISI444,Stainless Steel,SS,AISI,68,,Inti Sarana Kreasi,,1/2/2023 1:38,1/2/2023 1:38,,3,,0.6,,6,2
154,SS-AIS-403,Stainless Steel AISI403,Stainless Steel,SS,AISI,6,,Inti Sarana Kreasi,,1/3/2023 1:38,1/3/2023 1:38,,3,,0.6,,7,2
155,SS-AIS-410,Stainless Steel AISI410,Stainless Steel,SS,AISI,12,,Inti Sarana Kreasi,,1/4/2023 1:38,1/4/2023 1:38,,3,,0.5,,6,2
